,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
83a4fa46-fe09-4212-a0a9-b3e07b70dd8e,,,,,,,,,,,,,
6aa0bc50-0353-4698-baf4-4556b0e1090e,,,,,,,,,,,,,
848bfa64-27ca-4ec6-a922-487edd747f35,,,,,,,,,,,,,
846aa88b-4625-43ac-a565-7dd8fec875e5,,,,,,,,,,,,,
6a9122a3-c7df-4773-b308-f0a35e70f5d8,,,,,,,,,,,,,
ef1bbdf6-3b6d-4a7b-9e83-ccb980122f2f,,,,,,,,,,,,,
5846ecd9-5e5f-4884-bc88-3a0f35a5dd63,,,,,,,,,,,,,
e01fed27-eacf-42e0-bb49-ec9f7c428e36,,,,,,,,,,,,,
38340e57-1c46-415c-947f-2622b3c79136,,,,,,,,,,,,,
69bc5d49-be9f-4915-b556-a95509ab67fa,,,,,,,,,,,,,
bbf81e6a-eab8-4290-a978-0a2aa0126e7f,,,,,,,,,,,,,
f7b9b451-3f94-4787-8465-63973ceb6894,,,,,,,,,,,,,
383a01a0-451a-4bfb-b5fa-b9131b5b5ae0,,,,,,,,,,,,,
1a825608-a007-4c38-af1a-439dec591748,,,,,,,,,,,,,
0f799387-0bba-4c7c-9ecf-f768ab063af1,,,,,,,,,,,,,
dcad88d1-7b46-4695-88bf-e578d5d6da5a,,,,,,,,,,,,,
a507be23-112c-4c93-ae33-a2782397d181,,,,,,,,,,,,,
765d9b06-a0c5-44cb-97bb-2ff31e4505a7,,,,,,,,,,,,,
6edad502-3b07-45b0-b8cd-905610de4592,,,,,,,,,,,,,
9240d2c4-0dcd-42f5-a3ae-d167c637ddde,,,,,,,,,,,,,
9ba08e23-ecf9-4a0c-9338-ce05a59f2d01,,,,,,,,,,,,,
2777d3fe-05b1-4aa2-b676-a3c4e33d6973,,,,,,,,,,,,,
7bab0076-81f6-4272-a4f8-f2d492115bdb,,,,,,,,,,,,,
4fd41dcc-a524-4045-ae41-f8a6cb81d395,,,,,,,,,,,,,
5d0c1c09-0326-44ec-8df1-ba4470e41f73,,,,,,,,,,,,,
0d2f0655-8435-43aa-a69f-5af4edfc43ec,,,,,,,,,,,,,
e41c847f-1476-4c50-9e09-c6a4f54ef8f9,,,,,,,,,,,,,
8acbbcea-f6f8-4dad-a9e4-4518d3d68e96,,,,,,,,,,,,,
